actual,predicted
MeanReverting,MeanReverting
Neutral,Trending
MeanReverting,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Trending,MeanReverting
Neutral,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Neutral,MeanReverting
Trending,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Neutral,MeanReverting
Trending,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Trending,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
MeanReverting,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
Neutral,MeanReverting
